name_en,name_fr,serving_size,serving_size_fr,calories,fat,saturated_fat,trans_fat,polyunsaturated_fat,monounsaturated_fat,cholesterol,sodium,carbohydrates,dietary_fiber,sugars,protein,vitamin_d,calcium,iron,potassium,vitamin_a,vitamin_c,serving_size_100,calories_100,fat_100,saturated_fat_100,trans_fat_100,polyunsaturated_fat_100,monounsaturated_fat_100,cholesterol_100,sodium_100,carbohydrates_100,dietary_fiber_100,sugars_100,protein_100,vitamin_d_100,calcium_100,iron_100,potassium_100,vitamin_a_100,vitamin_c_100
Burrito with Chicken,Burrito au poulet,1 small,1 petit,271,8.31,2.16,-,1.823,3.46,60,677,24.34,1.7,1.83,23.49,-,70,2.54,297,16,3.3,100 g,191,5.85,1.521,-,1.284,2.437,42,477,17.14,1.2,1.29,16.54,-,49,1.79,209,11,2.3
Butter,Beurre,1 tbsp,1 cuillère à soupe,102,11.52,7.294,-,0.432,2.985,31,2,0.01,0,0.01,0.12,-,3,0,3,97,0,100 g,717,81.11,51.368,-,3.043,21.021,215,11,0.06,0,0.06,0.85,-,24,0.02,24,684,0
Butter (Salted),Beurre (salé),1 tbsp,1 cuillère à soupe,102,11.52,7.294,-,0.432,2.985,31,82,0.01,0,0.01,0.12,0,3,0,3,97,0,100 g,717,81.11,51.368,-,3.043,21.021,215,576,0.06,0,0.06,0.85,1,24,0.02,24,684,0
Butter Croissants,Croissants au Beurre,1 medium,1 médium,231,11.97,6.646,-,0.624,3.149,38,424,26.11,1.5,6.42,4.67,-,21,1.16,67,117,0.1,100 g,406,21,11.659,-,1.094,5.525,67,744,45.8,2.6,11.26,8.2,-,37,02.03,118,206,0.2
Butter Pound Cake,Quatre-quarts au beurre,1 piece (1/10 of cake),1 morceau (1/10 de gâteau),116,5.97,3.468,-,0.32,1.77,66,119,14.64,0.2,-,1.65,-,10,0.41,36,45,0,100 g,388,19.9,11.559,-,1.067,5.9,221,398,48.8,0.5,-,5.5,-,35,1.38,119,149,0
Butter Whipped (Salted),Beurre Fouetté (Salé),1 tbsp,1 cuillère à soupe,67,7.62,4.746,-,0.283,2.202,21,78,0.01,0,0.01,0.08,-,2,0.02,2,64,0,100 g,717,81.11,50.489,-,3.012,23.426,219,827,0.06,0,0.06,0.85,-,24,0.16,26,684,0
Buttered Air Popped Popcorn,Maïs soufflé à l'air beurré,1 cup,1 tasse,63,3.63,2.1,-,0.329,0.921,9,45,6.98,1.3,0.08,1.19,-,2,0.29,30,28,0,100 g,486,27.94,16.151,-,2.531,7.086,66,349,53.67,10,0.62,9.19,-,12,2.21,234,216,0
Buttermilk (Lowfat Cultured),Babeurre (de culture faible en gras),100 ml,100 ml,41,0.91,0.567,-,0.034,0.263,4,109,4.96,0,4.96,3.42,-,120,0.05,156,7,1,100 g,40,0.88,0.548,-,0.033,0.254,4,105,4.79,0,4.79,3.31,-,116,0.05,151,7,1
Buttermilk (Reduced Fat Cultured),Babeurre (de culture à teneur réduite en matières grasses),100 ml,100 ml,58,02.07,1.285,-,0.073,0.596,8,89,5.48,0,5.48,4.24,-,148,0.06,186,17,1.6,100 g,56,2,1.242,-,0.071,0.576,8,86,5.3,0,5.3,4.1,-,143,0.06,180,16,1.5
Buttermilk Pancakes,Pancakes au Babeurre,"1 pancake (4"" dia)","1 crêpe (4"" de diamètre)",86,3.53,0.696,-,1.705,0.897,22,198,10.91,-,-,2.58,-,60,0.65,55,11,0.2,100 g,227,9.3,1.832,-,4.486,2.361,58,522,28.7,-,-,6.8,-,157,1.7,145,30,0.4
Buttermilk Ranch Dressing,Vinaigrette ranch au babeurre,2 tbsp (30 ml),2 cuillères à soupe (30 ml),130,13.00,2.000,0.000,0.000,0.000,5,260,2.00,0.0,1.00,-,-,-,-,-,-,-,2 tbsp (30 ml),130,13.00,2.000,0.000,0.000,0.000,5,260,2.00,0.0,1.00,-,-,-,-,-,-,-
Butternut Squash Risotto,Risotto à la courge musquée,1/2 cup cooked (41 g),1/2 tasse cuite (41 g),143,1.00,0.500,0.000,-,-,0,496,31.00,1.0,2.00,4.00,-,-,-,35,-,-,1/2 cup cooked (41 g),143,1.00,0.500,0.000,-,-,0,496,31.00,1.0,2.00,4.00,-,-,-,35,-,-
Butternut Winter Squash,Courge d'hiver musquée,1 cup of cubed,1 tasse de cubes,63,0.14,0.029,-,0.059,0.01,0,6,16.37,2.8,03.08,1.4,-,67,0.98,493,745,29.4,100 g,45,0.1,0.021,-,0.042,0.007,0,4,11.69,2,2.2,1,-,48,0.7,352,532,21
Cabbage,Chou,100 g,100g,24,0.12,0.016,-,0.06,0.009,0,18,5.58,2.3,3.58,1.44,-,47,0.59,246,9,32.2,100 g,24,0.12,0.016,-,0.06,0.009,0,18,5.58,2.3,3.58,1.44,-,47,0.59,246,9,32.2
Cabbage Salad or Coleslaw with Apples and/or Raisins with Dressing,Salade de chou ou salade de chou aux pommes et/ou raisins secs avec vinaigrette,1 cup,1 tasse,252,19.55,2.967,-,10.622,4.867,9,352,20.08,2.6,13.97,1.91,-,50,0.9,334,28,25.6,100 g,191,14.81,2.248,-,8.047,3.687,7,267,15.21,2,10.58,1.45,-,38,0.68,253,21,19.4
Cabbage Salad or Coleslaw with Dressing,Salade de chou ou salade de chou avec vinaigrette,1 cup,1 tasse,269,23.64,3.593,-,12.9,5.895,11,521,14.08,3.5,9.13,2.36,-,72,0.98,379,162,41.4,100 g,146,12.85,1.953,-,7.011,3.204,6,283,7.65,1.9,4.96,1.28,-,39,0.53,206,88,22.5
Cabbage Salad or Coleslaw with Pineapple with Dressing,Salade de chou ou salade de chou à l'ananas avec vinaigrette,1 cup,1 tasse,193,15.52,2.355,-,8.463,3.871,8,124,13.69,1.8,10.18,1.33,-,41,0.66,218,22,24.9,100 g,146,11.76,1.784,-,6.411,2.933,6,94,10.37,1.4,7.71,01.01,-,31,0.5,165,17,18.9
Cabernet Sauvignon Wine,Vin Cabernet Sauvignon,1 5 fl oz serving,1 portion de 5 onces liquides,123,0,-,-,-,-,-,-,3.82,-,-,0.1,-,-,-,-,-,-,100 g,84,0,-,-,-,-,-,-,2.6,-,-,0.07,-,-,-,-,-,-
Caesar Dressing,sauce César,2 tbsp (30 g),2 cuillères à soupe (30 g),50,5.00,0.500,0.000,0.000,0.000,0,280,1.00,0.0,1.00,0.00,-,-,-,0,-,-,2 tbsp (30 g),50,5.00,0.500,0.000,0.000,0.000,0,280,1.00,0.0,1.00,0.00,-,-,-,0,-,-
Caesar Salad Dressing,Vinaigrette César,1 tbsp,1 cuillère à soupe,78,8.48,1.292,-,4.83,1.985,0,158,0.46,0,0.19,0.18,-,4,0.03,4,0,0,100 g,528,57.7,8.789,-,32.857,13.504,2,1078,3.1,0.1,1.31,1.2,-,24,0.18,29,2,0
Caesar Salad Dressing (Low Calorie),Vinaigrette César (faible en calories),100 g,100g,110,4.4,0.703,-,2.368,1.124,2,1078,18.6,0.1,16.32,0.3,-,24,0.18,29,1,0,100 g,110,4.4,0.703,-,2.368,1.124,2,1078,18.6,0.1,16.32,0.3,-,24,0.18,29,1,0
Caesar Salad Kit,Kit Salade César,1/3 package,1/3 paquet,140,11.00,-,-,-,-,10,410,8.00,2.0,2.00,2.00,-,-,-,-,-,-,1/3 package,140,11.00,-,-,-,-,10,410,8.00,2.0,2.00,2.00,-,-,-,-,-,-
Caesar Salad with Romaine,Salade César à la Romaine,1 cup,1 tasse,184,15.3,2.868,-,1.835,9.899,43,280,07.04,1.6,1.38,5.43,-,93,1.35,218,208,18.1,100 g,170,14.17,2.656,-,1.699,9.166,40,259,6.52,1.5,1.28,05.03,-,86,1.25,202,193,16.8
Caesar Salad without Croutons,Salade César sans croûtons,1 salad (100 g),1 salade (100 g),120,10.00,2.000,-,-,-,10,280,4.00,2.0,0.00,3.00,-,-,-,-,-,-,1 salad (100 g),120,10.00,2.000,-,-,-,10,280,4.00,2.0,0.00,3.00,-,-,-,-,-,-
Caffe Latte (Venti),Café Latte (Venti),1 serving (20 oz),1 portion (20 onces),250,9.00,6.000,0.000,-,-,40,220,24.00,0.0,23.00,16.00,-,-,-,-,-,-,1 serving (20 oz),250,9.00,6.000,0.000,-,-,40,220,24.00,0.0,23.00,16.00,-,-,-,-,-,-
Cage Free Fresh Hard Cooked Peeled Eggs,Œufs pelés durs et frais sans cage,1 egg (44 g),1 œuf (44 g),60,4.00,1.500,0.000,-,-,185,40,0.00,0.0,0.00,6.00,-,-,-,60,-,-,1 egg (44 g),60,4.00,1.500,0.000,-,-,185,40,0.00,0.0,0.00,6.00,-,-,-,60,-,-
Calamari Fritti,Calamars Fritti,1 serving,1 portion,760,55.00,9.000,0.000,-,-,435,700,33.00,4.0,7.00,33.00,-,-,-,-,-,-,1 serving,760,55.00,9.000,0.000,-,-,435,700,33.00,4.0,7.00,33.00,-,-,-,-,-,-
California and Arizona Pink and Red Grapefruit,Pamplemousse rose et rouge de Californie et d'Arizona,"1/2 fruit (3-3/4"" dia)","1/2 fruit (3-3/4"" de diamètre)",46,0.12,0.017,-,0.03,0.016,0,1,11.92,-,-,0.62,-,14,0.1,181,0,46.9,100 g,37,0.1,0.014,-,0.024,0.013,0,1,9.69,-,-,0.5,-,11,0.08,147,0,38.1
California Avocados,Avocats de Californie,100 g,100g,167,15.41,2.126,-,1.816,9.799,0,8,8.64,6.8,0.3,1.96,-,13,0.61,507,7,8.8,100 g,167,15.41,2.126,-,1.816,9.799,0,8,8.64,6.8,0.3,1.96,-,13,0.61,507,7,8.8
California Red Kidney Beans (with Salt Cooked Boiled),Haricots rouges de Californie (avec sel cuits bouillis),1 cup,1 tasse,219,0.16,0.025,-,0.092,0.012,0,425,39.67,16.5,-,16.16,-,117,5.27,742,0,2.1,100 g,124,0.09,0.014,-,0.052,0.007,0,240,22.41,9.3,-,9.13,-,66,2.98,419,0,1.2
California Rolls,Rouleaux de Californi,1 piece,1 pièce,33,0.12,0.022,0,0.043,0.024,4,58,6.31,0.2,1.3,1.38,0,7,0.35,33,9,0.8,100 g,126,0.47,0.085,0,0.166,0.091,14,223,24.27,0.9,4.99,5.29,0,27,1.35,128,36,3.3
California White Grapefruit,Pamplemousse blanc de Californie,"1/2 fruit (3-3/4"" dia)","1/2 fruit (3-3/4"" de diamètre)",44,0.12,0.017,-,0.028,0.015,0,0,10.73,-,-,01.04,-,14,0.09,169,0,39.3,100 g,37,0.1,0.014,-,0.024,0.013,0,0,09.09,-,-,0.88,-,12,0.08,143,0,33.3
Calzone with Meat and Cheese,Calzone à la Viande et au Fromage,1 calzone or stromboli,1 calzone ou stromboli,1476,76.83,27.814,-,10.575,33.373,187,1726,131.02,5.5,1.19,61.99,-,772,10.6,683,416,0,100 g,348,18.12,6.56,-,2.494,7.871,44,407,30.9,1.3,0.28,14.62,-,182,2.5,161,98,0
Camembert,Camembert,1 oz (28 g),1 once (28 g),110,10.00,6.000,0.500,-,-,35,210,0.00,0.0,0.00,5.00,-,-,-,-,-,-,1 oz (28 g),110,10.00,6.000,0.500,-,-,35,210,0.00,0.0,0.00,5.00,-,-,-,-,-,-
Camembert Cheese,Le camembert,100 g,100g,300,24.26,15.259,-,0.724,7.023,72,842,0.46,0,0.46,19.8,0,388,0.33,187,241,0,100 g,300,24.26,15.259,-,0.724,7.023,72,842,0.46,0,0.46,19.8,0,388,0.33,187,241,0
Camembert Cheese,Le camembert,100 g,100g,300,24.26,15.259,-,0.724,7.023,72,842,0.46,0,0.46,19.8,-,388,0.33,187,241,0,100 g,300,24.26,15.259,-,0.724,7.023,72,842,0.46,0,0.46,19.8,-,388,0.33,187,241,0
Canadian Bacon,Bacon canadien,1 slice,1 tranche,43,1.94,0.653,-,0.186,0.929,13,356,0.31,0,0,5.58,-,2,0.19,90,0,0,100 g,185,8.44,2.84,-,0.81,04.04,58,1546,1.35,0,0,24.24,-,10,0.82,390,0,0
Candy Coated Marshmallow,Guimauve enrobée de bonbons,1 piece,1 pièce,48,0.02,0.005,-,0.004,0.007,0,7,12.32,0,10.18,0.16,-,0,0.02,1,0,0,100 g,343,0.13,0.036,-,0.03,0.051,0,51,87.99,0.1,72.72,1.16,-,2,0.15,4,0,0
Cane and Maple (15%) Syrup,Sirop de canne et d'érable (15%),1 tbsp,1 cuillère à soupe,56,0.01,0.004,-,0.01,0.006,0,21,13.9,0,13.64,0,-,2,0.04,11,0,0,100 g,278,0.03,0.02,-,0.05,0.032,0,104,69.52,0.1,68.2,0,-,12,0.19,53,0,0
Canned Anchovy,Anchois en conserve,1 anchovy,1 anchois,8,0.39,0.088,-,0.102,0.151,3,147,0,0,0,1.16,-,9,0.19,22,0,0,100 g,210,9.71,2.203,-,2.562,3.77,85,3668,0,0,0,28.89,-,232,4.63,544,12,0
Canned Crab,Crabe en conserve,1 oz,1 once,28,0.35,0.071,-,0.125,0.062,25,94,0,0,0,5.82,-,29,0.24,106,1,0.8,100 g,99,1.23,0.252,-,0.44,0.218,89,333,0,0,0,20.52,-,101,0.84,374,2,2.7
Canned Lobster,Homard en conserve,1 oz,1 once,27,0.16,0.03,-,0.026,0.045,20,198,0.36,0,0,5.76,-,17,0.11,99,7,0,100 g,97,0.58,0.106,-,0.09,0.159,71,700,1.27,0,0,20.33,-,61,0.39,349,26,0
Canned Mackerel,Maquereau en conserve,1 oz of boneless,1 once de désossé,44,1.79,0.526,-,0.468,0.631,22,107,0,0,0,6.57,-,68,0.58,55,37,0.3,100 g,156,6.3,1.857,-,1.651,2.225,79,379,0,0,0,23.19,-,241,02.04,194,130,0.9
Canola Vegetable Oil,Huile végétale de canola,1 tbsp,1 cuillère à soupe,124,14,0.994,-,4.144,8.246,0,0,0,0,0,0,-,0,0,0,0,0,100 g,884,100,7.1,-,29.6,58.9,0,0,0,0,0,0,-,0,0,0,0,0
Cantaloupe (Muskmelon),Cantaloup (melon musqué),1 cup of diced,1 tasse de dés,53,0.3,0.08,-,0.126,0.005,0,25,12.73,1.4,12.26,1.31,-,14,0.33,417,264,57.3,100 g,34,0.19,0.051,-,0.081,0.003,0,16,8.16,0.9,7.86,0.84,-,9,0.21,267,169,36.7
Cantaloupe & Berries,Cantaloup et baies,1 container (284 g),1 contenant (284 g),100,0.50,0.000,0.000,-,-,0,40,24.00,3.0,21.00,2.00,-,-,-,720,-,-,1 container (284 g),100,0.50,0.000,0.000,-,-,0,40,24.00,3.0,21.00,2.00,-,-,-,720,-,-
Cantaloupe Melons,Melons Cantaloup,1 cup of balls,1 tasse de boules,60,0.34,0.09,-,0.143,0.005,0,28,14.44,1.6,13.91,1.49,-,16,0.37,473,299,65,100 g,34,0.19,0.051,-,0.081,0.003,0,16,8.16,0.9,7.86,0.84,-,9,0.21,267,169,36.7
Cantaloupe Nectar,Nectar de cantaloup,1 cup,1 tasse,155,0.2,0.05,-,0.08,0.002,0,18,39.2,1,38.9,0.83,-,10,0.2,240,125,25.5,100 g,62,0.08,0.02,-,0.032,0.001,0,7,15.68,0.4,15.56,0.33,-,4,0.08,96,50,10.2
Capers,câpres,1 tbsp of drained,1 cuillère à soupe d'égoutté,2,0.07,0.02,-,0.026,0.005,0,255,0.42,0.3,0.04,0.2,-,3,0.14,3,1,0.4,100 g,23,0.86,0.233,-,0.304,0.063,0,2964,4.89,3.2,0.41,2.36,-,40,1.67,40,7,4.3
Capers Alcaparras,Câpres Alcaparras,2 tbsp (15 g),2 cuillères à soupe (15 g),5,0.00,0.000,0.000,-,-,0,315,1.00,0.0,0.00,0.00,-,-,-,-,-,-,2 tbsp (15 g),5,0.00,0.000,0.000,-,-,0,315,1.00,0.0,0.00,0.00,-,-,-,-,-,-
Cappuccino,Cappuccino,1 mug (8 fl oz),1 tasse (8 onces liquides),74,3.98,2.273,-,0.241,1.007,12,50,5.81,0.2,6.41,04.08,-,144,0.19,233,34,0,100 g,31,1.66,0.947,-,0.1,0.42,5,21,2.42,0.1,2.67,1.7,-,60,0.08,97,14,0
Caramel Custard Flan (Dry Mix),Flan à la crème au caramel (mélange sec),100 g,100g,348,0,-,-,-,-,0,432,91.6,0,-,0,-,24,0.08,153,0,0,100 g,348,0,-,-,-,-,0,432,91.6,0,-,0,-,24,0.08,153,0,0
Carbonated Water Sweetened,Eau gazéifiée sucrée,1 bottle (11 fl oz),1 bouteille (11 onces liquides),114,0,0,-,0,0,0,40,29.57,0,29.57,0,-,3,0.03,0,0,0,100 g,34,0,0,-,0,0,0,12,8.8,0,8.8,0,-,1,0.01,0,0,0
Carp (Fish),Carpe (Poisson),100 g,100g,127,5.6,1.083,-,1.431,2.328,66,49,0,0,0,17.83,-,41,1.24,333,9,1.6,100 g,127,5.6,1.083,-,1.431,2.328,66,49,0,0,0,17.83,-,41,1.24,333,9,1.6
Carp Fish (Cooked Dry Heat),Poisson Carpe (Cuit à Chaleur Sèche),100 g,100g,162,7.17,1.388,-,1.835,2.985,84,63,0,0,-,22.86,-,52,1.59,427,10,1.6,100 g,162,7.17,1.388,-,1.835,2.985,84,63,0,0,-,22.86,-,52,1.59,427,10,1.6
Carrot Cake (Dry Mix Pudding Type),Gâteau aux carottes (type pudding à mélange sec),1 oz,1 once,118,2.78,0.417,-,01.05,1.144,0,161,22.45,-,-,1.45,-,49,0.51,48,27,0.3,100 g,415,9.8,1.472,-,3.702,4.036,0,567,79.2,-,-,5.1,-,172,1.8,169,97,1.2
Carrot Cake with Icing,Gâteau aux carottes avec glaçage,"1 piece (1/10 of 1-layer-8"" or 9"" dia)","1 pièce (1/10 de 1 couche-8"" ou 9"" de diamètre)",326,16.7,3.081,-,7.146,5.554,48,147,42.37,0.9,31.3,03.09,-,46,01.03,80,143,0.7,100 g,408,20.88,3.851,-,8.933,6.942,60,184,52.96,1.1,39.12,3.86,-,58,1.29,100,179,0.9
Carrot Cake without Icing,Gâteau aux carottes sans glaçage,"1 piece (1/10 of 8"" or 9"" dia)","1 pièce (1/10 de 8"" ou 9"" de diamètre)",241,13.48,1.884,-,6.295,4.55,38,119,28.47,0.8,18.88,2.45,-,38,0.87,66,113,0.6,100 g,416,23.24,3.249,-,10.853,7.844,66,205,49.09,1.4,32.56,4.22,-,66,1.5,114,195,1.1
Carrot Juice,Jus de carotte,1 cup,1 tasse,94,0.35,0.064,-,0.168,0.017,0,68,21.92,1.9,9.23,2.24,-,57,01.09,689,2256,20.1,100 g,40,0.15,0.027,-,0.071,0.007,0,29,9.29,0.8,3.91,0.95,-,24,0.46,292,956,8.5
Carrots,Carottes,100 g,100g,41,0.24,0.037,0,0.117,0.014,0,69,9.58,2.8,4.54,0.93,-,33,0.3,320,841,5.9,100 g,41,0.24,0.037,0,0.117,0.014,0,69,9.58,2.8,4.54,0.93,-,33,0.3,320,841,5.9
Carrots (Solids and Liquids Canned),Carottes (solides et liquides en conserve),1/2 cup slices,1/2 tasse de tranches,28,0.17,0.031,-,0.08,0.007,0,295,6.61,2.2,03.03,0.71,-,38,0.64,213,740,2.5,100 g,23,0.14,0.025,-,0.065,0.006,0,240,5.37,1.8,2.46,0.58,-,31,0.52,173,602,2
Catfish,Poisson-chat,1 large (yield after cooking-bone removed),"1 gros (rendement après cuisson, os retiré)",1176,71.2,15.905,-,17.998,31.762,338,1950,41.85,2.4,4.17,86.09,-,172,5.68,1597,103,2.4,100 g,240,14.53,3.246,-,3.673,6.482,69,398,8.54,0.5,0.85,17.57,-,35,1.16,326,21,0.5
Cauliflower,Chou-fleur,1 cup,1 tasse,25,0.1,0.032,-,0.099,0.014,0,30,5.3,2.5,2.4,1.98,-,22,0.44,303,1,46.4,100 g,25,0.1,0.032,-,0.099,0.014,0,30,5.3,2.5,2.4,1.98,-,22,0.44,303,1,46.4
Cauliflower (Frozen),Chou-fleur (congelé),100 g,100g,24,0.27,0.041,-,0.128,0.019,0,24,4.68,2.3,2.22,02.01,-,22,0.54,193,1,48.8,100 g,24,0.27,0.041,-,0.128,0.019,0,24,4.68,2.3,2.22,02.01,-,22,0.54,193,1,48.8
Celeriac,Céleri-rave,100 g,100g,42,0.3,0.079,-,0.148,0.058,0,100,9.2,1.8,1.6,1.5,-,43,0.7,300,0,8,100 g,42,0.3,0.079,-,0.148,0.058,0,100,9.2,1.8,1.6,1.5,-,43,0.7,300,0,8
Celery,Céleri,"1 stalk of medium (7-1/2"" - 8"" long)","1 tige de médium (7-1/2"" - 8"" de long)",6,0.07,0.017,-,0.032,0.013,0,32,1.19,0.6,0.73,0.28,-,16,0.08,104,9,1.2,100 g,14,0.17,0.043,-,0.081,0.032,0,80,2.97,1.6,1.83,0.69,-,40,0.2,260,22,3.1
Cereal,Céréale,1 cup,1 tasse,124,1.12,0.274,-,0.389,0.369,0,223,27.4,1.7,7.45,2.39,-,54,7.37,89,162,8.2,100 g,376,3.38,0.829,-,1.179,1.119,0,676,83.02,5.3,22.57,7.24,-,164,22.33,271,492,24.8
Challah,brioche,1/9 loaf (1.8 oz),"1/9 pain (1,8 oz)",180,6.00,0.500,0.000,-,-,15,240,26.00,0.0,4.00,4.00,-,-,-,-,-,-,1/9 loaf (1.8 oz),180,6.00,0.500,0.000,-,-,15,240,26.00,0.0,4.00,4.00,-,-,-,-,-,-
Challah Bread,pain challah,1/16 loaf (32 g),1/16 de pain (32 g),90,2.50,0.000,0.000,-,-,10,130,16.00,1.0,2.00,2.00,-,-,-,-,-,-,1/16 loaf (32 g),90,2.50,0.000,0.000,-,-,10,130,16.00,1.0,2.00,2.00,-,-,-,-,-,-
Challah Bread,pain challah,1 slice (50 g),1 tranche (50 g),110,0.50,0.000,0.000,-,-,15,230,23.00,2.0,0.00,5.00,-,-,-,-,-,-,1 slice (50 g),110,0.50,0.000,0.000,-,-,15,230,23.00,2.0,0.00,5.00,-,-,-,-,-,-
Challah Egg Bread,Pain aux œufs Challah,1 slice,1 tranche,65,1.38,0.366,-,0.254,0.529,12,113,10.99,0.5,0.41,2.18,-,21,0.7,26,14,0,100 g,283,6,1.593,-,1.106,2.302,51,492,47.8,2.3,1.78,9.5,-,93,03.04,115,63,0
Champagne,Champagne,1 glass (3.5 fl oz),"1 verre (3,5 onces liquides)",87,0,0,-,0,0,0,5,2.8,0,0.81,0.07,-,8,0.38,102,0,0,100 g,84,0,0,-,0,0,0,5,2.72,0,0.79,0.07,-,8,0.37,99,0,0
Cheddar Cheese,Fromage cheddar,1 slice (1 oz),1 tranche (1 once),113,9.28,5.906,-,0.264,2.629,29,174,0.36,0,0.15,6.97,0,202,0.19,27,74,0,100 g,403,33.14,21.092,-,0.942,9.391,105,621,1.28,0,0.52,24.9,0,721,0.68,98,265,0
Cheddar or Colby Cheese (Low Sodium),Fromage Cheddar ou Colby (faible en sodium),1 oz,1 once,113,9.25,5.888,-,0.276,2.605,28,6,0.54,0,0.14,6.9,-,199,0.2,32,75,0,100 g,398,32.62,20.768,-,0.972,9.189,100,21,1.91,0,0.49,24.35,-,703,0.72,112,264,0
Cheddar or Colby Cheese (Lowfat),Fromage Cheddar ou Colby (faible en gras),1 oz,1 once,49,1.98,1.231,-,0.063,0.59,6,174,0.54,0,0.15,6.9,-,118,0.12,19,17,0,100 g,173,7,4.342,-,0.222,2.082,21,612,1.91,0,0.52,24.35,-,415,0.42,66,60,0
Cheese and Fruit Strudel,Strudel au fromage et aux fruits,"1 piece (approx 2"" - 2-1/2"" square)","1 pièce (environ 2"" - 2-1/2"" carré)",141,5.4,2.552,-,0.675,1.815,28,74,19.1,0.6,11.84,4.41,-,65,0.72,88,52,2.7,100 g,220,8.44,3.987,-,1.054,2.836,43,115,29.84,0.9,18.5,6.89,-,102,1.12,137,82,4.2
Cheese Biscuit,Biscuits au Fromage,"1 biscuit (2"" dia)","1 biscuit (2"" de diamètre)",112,5.66,1.688,-,1.391,2.243,4,222,12.55,0.4,0.9,2.78,-,90,0.82,45,15,0,100 g,374,18.86,5.627,-,4.638,7.478,15,739,41.82,1.4,3,9.25,-,299,2.72,150,49,0
Cheese Crackers,Craquelins au fromage,"1 cracker (1"" square)","1 craquelin (carré de 1"")",5,0.25,0.094,-,0.025,0.121,0,10,0.58,0,0,0.1,-,2,0.05,1,0,0,100 g,503,25.3,9.371,-,2.472,12.105,13,995,58.2,2.4,0.28,10.1,-,151,4.77,145,29,0
Cheese Croissants,Croissants au Fromage,1 medium,1 médium,236,11.91,6.058,-,1.359,3.71,32,316,26.79,1.5,6.47,5.24,-,30,1.23,75,116,0.1,100 g,414,20.9,10.628,-,2.384,6.509,57,555,47,2.6,11.35,9.2,-,53,2.15,132,204,0.2
Cheese Danish Pastry,Pâtisserie danoise au fromage,1 pastry,1 pâtisserie,266,15.55,4.824,-,1.828,8.032,11,320,26.41,0.7,4.93,5.68,-,25,1.14,70,25,0.1,100 g,374,21.9,6.794,-,2.575,11.313,16,450,37.2,1,6.95,8,-,35,1.6,98,35,0.1
Cheese Empanadas,Empanadas au fromage,1 empanada,1 empanada,273,17.06,5.142,0.936,3.548,7.045,67,279,20.76,0.7,0.43,8.92,0,133,0.57,61,114,0,100 g,304,18.96,5.713,1.039,3.942,7.827,74,310,23.07,0.8,0.48,9.91,0,147,0.63,68,127,0
Cheese Filled Ravioli,Raviolis fourrés au fromage,1 cup,1 tasse,285,10.72,5.729,-,0.831,3.326,162,1022,32.35,1.1,0.46,13.58,-,152,2.5,128,107,0,100 g,178,6.7,3.581,-,0.519,2.079,101,639,20.22,0.7,0.29,8.49,-,95,1.56,80,67,0
Cheese Filled Ravioli with Meat Sauce,Raviolis fourrés au fromage avec sauce à la viande,1 cup,1 tasse,355,15.93,6.9,-,1.828,5.838,160,1515,35.05,2,4,17.55,-,152,3.4,393,140,4.8,100 g,142,6.37,2.76,-,0.731,2.335,64,606,14.02,0.8,1.6,07.02,-,61,1.36,157,56,1.9
Cheese Filled Tortellini,Tortellinis fourrés au fromage,1 cup,1 tasse,354,8.34,4.154,-,0.532,2.384,48,198,54.22,2.2,1.1,15.57,-,166,1.29,32,42,0,100 g,236,5.56,2.769,-,0.355,1.589,32,132,36.15,1.5,0.73,10.38,-,111,0.86,21,28,0
Cheese Filled Tortellini with Cream Sauce,Tortellini fourrés au fromage avec sauce à la crème,1 cup,1 tasse,390,18.55,7.745,-,3.007,6.62,163,1442,38.9,1.3,04.03,16.15,-,240,2.7,253,173,1,100 g,156,7.42,3.098,-,1.203,2.648,65,577,15.56,0.5,1.61,6.46,-,96,01.08,101,69,0.4
Cheese Gnocchi,Gnocchis Au Fromage,1 cup,1 tasse,125,8.28,3.13,-,1.415,3.191,49,171,06.01,0.1,0.2,6.52,-,133,0.59,52,82,0,100 g,179,11.83,4.472,-,2.022,4.558,70,244,8.58,0.2,0.29,9.32,-,190,0.84,74,117,0
Cheese Heads Light Cheese String - Mozzarella Swirls,Cheese Heads Ficelle de fromage légère - Tourbillons de mozzarella,1 stick (21 g),1 bâton (21 g),50,2.00,1.500,0.100,-,-,10,190,0.05,0.0,0.00,7.00,-,-,-,-,-,-,1 stick (21 g),50,2.00,1.500,0.100,-,-,10,190,0.05,0.0,0.00,7.00,-,-,-,-,-,-
Cheese Pizza,Pizza au fromage,"1 piece (1/8 of 12"" dia)","1 pièce (1/8 de 12"" de diamètre)",237,10.1,4.304,-,1.776,2.823,21,462,26.08,1.6,03.06,10.6,-,181,1.6,138,68,0.3,100 g,276,11.74,5.005,-,2.065,3.283,24,537,30.33,1.9,3.56,12.33,-,210,1.86,161,79,0.3
Cheese Pizza with Vegetables,Pizza au fromage et aux légumes,"1 piece (1/8 of 12"" dia)","1 pièce (1/8 de 12"" de diamètre)",242,8.95,3.511,-,1.053,3.841,10,546,30.93,1.9,2.56,9.33,-,165,2.29,204,30,10,100 g,230,8.52,3.344,-,1.003,3.658,10,520,29.46,1.8,2.44,8.89,-,157,2.18,194,29,9.5
